line	text
1	"انا تعبت في بارت ده جدااااااااا عاوزا بقي؟وت كتير وتفاعل انا نزلته علشانكم
"
2	"حور: خير يا جاسر في ايه جدتي جرلها حاجة
"
3	"جاسر: اهدي شوية مافيش حاجه انا بس جايبلك اكل
"
4	"علشان انتي مما اكلتيش حاجه خالص انهاردة
"
5	"حور: شكرا انا فعلا جعانه قوي، شكرا لاهتمامك
"
6	"جاسر: انا رايح انام لو في حاجة ابقي ابعتيلي
"
7	"حور: حاضر
"
8	"جاسر خارج من غرفة الجدة، وفجاءة. حور نادت عليه...
"
9	"حور: جاسر ممكن ثواني عاوزة اتكلم معاك.
"
10	"التفت اليها جاسر: خير في ايه
"
11	"حور: جاسر احنا لازم نهدي الحرب اللي بنا دي شوي.
"
12	"انا عارفه انك متجوزني غصب عنك علشان خاطر جدتك. وكمان انا معرفش فادي وصلك ايه عني خلاك تاخد الموقف العدائي ده مني، وانا كمان مش احسن منك حال، انا انغصبت علي الجواز زيك بالظبط.
"
13	"بس احنا خلاص بقينا في واقع ولازم نعيش..
"
14	"انا مش بطلب منك انك تحبني، انا كل اللي عاوزه منك هو الاحترام لازم يكون في احترام متبادل بينا، يعني انا لو غلط في حاحة استني لما نبقي لوحدينا و عرفتي غلطتي.
"
15	"وانا كل الليك عندي الاحترام واني احافظ علي اسمك.
"
16	"لحد ماشوف حل للموقف اللي اتحطينا فيه.
"
17	"جاسر: بصي يا حور كلامك ده جميل و ده اللي كان لازمك يحصل من الاول. وصدقني انا عمري ما مديت ايدي علي واحدة,. بس غصب عني انا خرجت علي شعوري، اول مرة مسيطرش علي غضبي...
"
18	"احنا حنكمل جوزنا، ونعمل فرح علشان خاطر اهالينا، وبعد كام شهر نبقي نقول اننا متفقناش ونطلق، وطول الكام شهر دول حيبقي الجواز علي ورق بس.
"
19	"حور خلاص اتفقنا
"
20	"جاسر: يلا بقي كلي و انا رايح انام شوية
"
21	"هما الاتنين كانو غافلين علي من يستمع لكل كلامهم، و بفكر في فكرة ما...
"
22	"مرت الايام و تحسنت حالة الجده، وبداء الاعداد للفرح من جميع كل ما في قصر...
"
23	"صبيحة يوم الفرح جلست حور بجانب والده بابا هو انا مش حتقول لماما علي فرحي يعني حتجوز من غير ماهي تعرف
"
24	"الاب: حور انتي عارفه انك مبتحبش جو الصعيد ولا الحر.
"
25	"حور: بس ده فرحي يا بابا.
"
26	"الاب: حزن الاب علي حور و مش عارفه يقولها اية أو يبرر أنه مش عاوز يقول لأمها ازاي
"
27	"خبط الباب ودخلت هنية كأنها انقذت الموقف
"
28	"هنية: زينة البنته يلا علشان فستانك و صل و الحريم كمان في مضيفه عاوزين يدوكي دهبات بتاعتك قبل فرح.
"
29	"حور: مش فاهمة يعني اية بدوني دهب
"
30	"ضحكت هنية: احنا عوايدنا هنا أكده لما البنته تتجوز أهل البلد لازمة يهادو دهب للعروسة كل واحد باللي يجدر عليه...
"
31	"حور امم. طيب اغير هدومي وانزل.
"
32	"بدلت حور ولبست فستان راءع ونزلت تحت تقابل الناس في مضيفه وكانت جميلة جدااا جلست وسط الحريم و كل واحدة بداءت تلبسها الدهب
"
33	"وبدء. في تشغيل اغاني و الاحتفال.
"
34	"دخل جاسر ليحطمءن علي جدته اتفاجيء بحور لقد
"
35	"كانت ايه في جمال بفستانها. ابتسم لها و تغمض عينه علي إعجابه الشديد بها، احرجت حور واحمر وجهها مما زادها احمرار جمالها جمالا، وجاذبيه..
"
36	"بعت جاسر هنية بتنادي حور من وسط الحريم.
"
37	"ذهبت حور لجاسر
"
38	"حور: نعم يا جاسىر انت بعتلي خاله هنية. عاوزة حاجة
"
39	"جاسر: اه تعالي معايا المكتب عاوزك
"
40	"دخلت حور معاه غرف. المكتب فور أن أغلق الباب و لم يقدر يسيطر على نفسة.
"
41	"فجذب حور إلى حضنه، وقال بهمس، بصراحة مش قادر اكتر من كده محتاج حضنك قوي، حور انتي جميلة جداا، وانا في حاجة بتجذلني ليكي مش عارف هي ايه، حور انا شكلي بحبك ولا ايه مش عارفه..
"
42	"ثم أخذ شفتيها في قبله كبيرة نسي بيها العالم كله وهي تجاوبت معاه و بداءت تشعر شعور لاول مرة تشعر به
"
43	"لقد نسو ناس و العالم في هذه القبله، ولم ينتبو الطرقات الباب و دخول داليا، عليهم التي إزداد حقدها علي حور،
"
44	"داليا، وه وه وه. بالهوي يالهوي علي فضيحة ابااي عليكي و فجرك يا بنت البندر فاجره صوح.
"
45	"انتبه جاسر وحور، للمتطفله فتنتفضة حور تبعد عن جاسر و كأنها عادت إلى ارض الواقع من جديد،.
"
46	"جاسر: في ايه يا داليا، هما عمله الباب ليه مش علشان الناس تخبط عليه
"
47	"داليا: ، خبط و محدش رد
"
48	"جاسر بغضب: و لما محدش اتهبب رد و قالك خوشي، بتخوشي ليييييه ها افهم.
"
49	"داليا: في ايه عاد يا واد عمي هما خدوهم بالصوت ولا ايه عاد. علشان تداري علي فضيحة بنت البندر.
"
50	"جاسر: مسك داليا من يدها بقسوة، فضيحة إليه دي مراتي يا جهلة. شكل لسانك ده حيتقطع، لو ملمتيش نفسك. انا صبري عليكي بدء يخلص.
"
51	"تجمدت حور مكانها مش عارفه تعمل اية تنكسف من جاسر بعد إلى حصل، تشتم داليا و وتجبها من شعرها وتخرصها، ولا تهرب وقفت مش عارفة تعمل ايه، فقاقت. علي صوت جاسر، حور حور.
"
52	"حور: هه نعم يا جاسر
"
53	"جاسر: يلا اطلعي فوق زمان مها جايه وجايبه معاها كوافيرة علشان تجهزي الفرح و انسي اللي حصل من شوية كانت لحظت ضعف مش حتتكرر
"
54	"حوطت حور دراعتها حول نفسها، وكأنها تستمد الدفء من نفسها، وطلعت غرفتها في صمت تامممم.
"
55	"جاءت مها. ومعها كوافيرة و بدءو في تجهيز حور للعرس لبست حور فستان الابيض و كانت في منتهي الجمال.
"
56	"طلعت حور في فستان الفرح جميلة جدااااااااا
"
57	"ونزلت تحت وسط الحريم لكن جاسر لم يدخل لها أو يشاهدها كأنه ليهرب منها أو خايف يضعف لو شافها كما حدث الصبح، ولكن عين حور كانت تبحث عنه وسط زحمة النساء و كأنها في عالم لوحدها خالي من كل الناس و هي تبحث عن ونيسها ليضمها ويشعرها بالأمان. نعم هو أمانها فحور لم تشعر بالأمان في يوم غير وهي في حضن جاسر...
"
58	"جلست حور وبجانب جدة التي كانت في قمة سعادتها بحور لقد تحقق اخيرا حلمها جواز حور من جاسر...
"
59	"الكل فرحان، فهو فرح كبير النجع، اما داليا فكان في زاوية بجانب منزل، تتوعد لحور وتبحث عن طريقه لكي تمشيها بيها من القصر و البلد كلها، وكان طلبها جاء علي طبق من فضة...
"
60	"فقد جاء اخر واحد المفروض يكون موجود وفي يوم زي ده، جاء فادي خطيب حور سابق، بعد أن أخبره صديقه جاسر بمعاد الفرح، جاء بصحبه خطيبة بنت مدير المستشفى..
"
61	"دخل جاسر بصحبة فادي و خطيبة , , ليري رد فعل حور بمجرد رؤيتها لفادي، فهو كان عاوز يطمن هل فادي مازال موجود في كل قلب حور و لأ...
"
62	"اتفجاءة حور من دخول فادي و لكن فضل وجهها جامد التعبير..
"
63	"نظرات الإعجاب كانت في عيني فادي بحور فعلا كانت حور تسرق النظر من كتر جمالها...
"
64	"استشاط جاسر من الغيرة، فمسك يد حور بتملك و كأنه يقول للعالم كله دي بتاعتي و ملكي انا و محدش حياخدها متي.
"
65	"قالت حور ببرود: اهلا دكتور فادي. اهلا يا انسة و مدت أيدها تسلم علي خطيبته
"
66	"فادي: اهلا يا حور
"
67	"حور قطعته: دكتورة حور اسمي دكتورة مش مسموح برفع الألقاب
"
68	"ابتسم جاسر فقد تأكد أنه لا يوجد اي شئ من جانب حور لفادي
"
69	"جاسر: دكتور فادي ميقصدش يا حور، ثم قال فادي. لو مش عاوز تقول دكتورة، قلها يا مدام و تقريبا دي انسب من دكتورة، مدام جاسر الانصاري قلها جاسر وهو يعتمد علي لقب مدام.
"
70	"ثم مسك ايديها و قرب منها بشده حتى أنها استنشقت عطرة.
"
71	"لحظة خطيبة فادي نظرات الإعجاب في عين فادي ثم سألته..
"
72	"خطيبة فادي: فادي هو في ايه حتاكل العروسة بعينك هو في اعمل احترام ليا
"
73	"داليا سمعت كلامهم وذهبت بجانبهم
"
